"filename", "language", "JavaScript", "HTML", "XML", "CSS", "Markdown", "comment", "blank", "total"
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_c3.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_c_al.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cabal.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_caddy.svg", "XML", 0, 0, 1, 0, 0, 0, 1, 2
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cake.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cakephp.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_capacitor.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cargo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cert.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_ceylon.svg", "XML", 0, 0, 1, 0, 0, 0, 1, 2
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cf.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cf2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cfc.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cfc2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cfm.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cfm2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cheader.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_chef.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_chef_cookbook.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_circleci.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_class.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_clojure.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_clojurescript.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cloudfoundry.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cmake.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cobol.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_codacy.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_codeclimate.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_codecov.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_codekit.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_coffeelint.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_coffeescript.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_compass.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_composer.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_conan.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_conda.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_config.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_confluence.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_coveralls.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cpp.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cpp2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cpp3.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cppheader.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_crowdin.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_crystal.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_csharp.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_csharp2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_csproj.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_css.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_csscomb.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_csslint.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cssmap.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cucumber.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cuda.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cvs.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cypress.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_cython.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dal.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_darcs.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dartlang.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_db.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_delphi.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dependencies.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_devcontainer.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_diff.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_django.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dlang.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_docker.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_docker2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dockertest.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dockertest2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_docpad.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_docz.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dojo.svg", "XML", 0, 0, 1, 0, 0, 0, 1, 2
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dotjs.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_doxygen.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
